estrategia,var_smoothing,alpha,accuracy_valid,recall_fail_valid
original,1e-09,0.1,0.8075,0.6874
original,1e-09,1.0,0.8075,0.6874
original,1e-09,10.0,0.8075,0.6873
original,1e-07,0.1,0.8075,0.6874
original,1e-07,1.0,0.8075,0.6874
original,1e-07,10.0,0.8075,0.6873
original,1e-05,0.1,0.8075,0.6874
original,1e-05,1.0,0.8075,0.6874
original,1e-05,10.0,0.8075,0.6873
sobremuestreo,1e-09,0.1,0.8012,0.8162
sobremuestreo,1e-09,1.0,0.8012,0.8162
sobremuestreo,1e-09,10.0,0.8012,0.8162
sobremuestreo,1e-07,0.1,0.8012,0.8162
sobremuestreo,1e-07,1.0,0.8012,0.8162
sobremuestreo,1e-07,10.0,0.8012,0.8162
sobremuestreo,1e-05,0.1,0.8012,0.8161
sobremuestreo,1e-05,1.0,0.8012,0.8161
sobremuestreo,1e-05,10.0,0.8012,0.8161
submuestreo,1e-09,0.1,0.8014,0.8162
submuestreo,1e-09,1.0,0.8014,0.8161
submuestreo,1e-09,10.0,0.8014,0.8161
submuestreo,1e-07,0.1,0.8014,0.8162
submuestreo,1e-07,1.0,0.8014,0.8161
submuestreo,1e-07,10.0,0.8014,0.8161
submuestreo,1e-05,0.1,0.8014,0.8161
submuestreo,1e-05,1.0,0.8014,0.8161
submuestreo,1e-05,10.0,0.8014,0.8161
